id,name,country_code,latitude,longitude,vendor,technology,region,localite,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM029,GB_BEREBY_WELLE2,CI,4.656451,-6.936702,ERICSSON,2G,SAN-PEDRO,GRAND-BEREBY,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM299,SASSANDRA_CORRIDOR,CI,4.994780,-6.131174,ERICSSON,2G,GBOKLE,SASSANDRA,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM303,NIANI,CI,5.020432,-6.081054,ERICSSON,2G,GBOKLE,NIANI,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM304,DAGBEGO,CI,5.055137,-5.958733,ERICSSON,2G,GBOKLE,DAGBEGO,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM306,MEDON,CI,5.203622,-6.215117,ERICSSON,2G,GBOKLE,MEDON,,,,,,,,,,,,,,
IM291,BAKOMBI,CI,10.254685,-5.123192,HUAWEI,2G,TCHOLOGO,BAKOMBI,,,,,,,,,,,,,,
IM291,BAKOMBI,CI,10.254685,-5.123192,HUAWEI,2G,TCHOLOGO,BAKOMBI,,,,,,,,,,,,,,
IM291,BAKOMBI,CI,10.254685,-5.123192,HUAWEI,2G,TCHOLOGO,BAKOMBI,,,,,,,,,,,,,,
IM434,KAGBOLODOUGOU_R,CI,9.396133,-5.397718,HUAWEI,2G,PORO,KAGBOLODOUGOU,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
